species	Phylum	Class	Order	Family	Genus
Ancylobacter aquaticus	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Ancylobacter
Leptospira alexanderi serovar Manhao 3 str. L 60	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira
Megasphaera sp. UPII 199-6	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Megasphaera
Megasphaera sp. UPII 135-E	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Megasphaera
Cryobacterium roopkundense	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Cryobacterium
Anaerocolumna xylanovorans DSM 12503	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerocolumna
Clostridium peptidivorans	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
Papillibacter cinnamivorans DSM 12816	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Papillibacter
Cupriavidus sp. ASC-9842	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus
Vibrio sp. C7	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
Hugenholtzia roseola DSM 9546	Bacteroidetes	Cytophagia	Cytophagales	Bernardetiaceae	Hugenholtzia
Pigmentiphaga sp. D-2	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Pigmentiphaga
Austwickia chelonae NBRC 105200	Actinobacteria	Actinobacteria	Micrococcales	Dermatophilaceae	Austwickia
Psychrobacter sp. 1501(2011)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter
Leisingera sp. ANG1	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Leisingera
Pseudomonas formosensis	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Candidatus Pelagibacter sp. IMCC9063	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	Candidatus Pelagibacter
Occallatibacter savannae	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Occallatibacter
Gaiella occulta	Actinobacteria	Rubrobacteria	Gaiellales	Gaiellaceae	Gaiella
Thermoflexibacter ruber	Bacteroidetes	Cytophagia	Cytophagales	Thermoflexibacter	
Verrucosispora maris AB-18-032	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Verrucosispora
Candidatus Thiomargarita nelsonii	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	Thiomargarita
Chitinophaga sancti	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Chitinophaga
Photorhabdus khanii NC19	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Photorhabdus
Candidatus Brocadia caroliniensis	Planctomycetes	Candidatus Brocadiae	Candidatus Brocadiales	Candidatus Brocadiaceae	Candidatus Brocadia
Mesorhizobium muleiense	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium
Hydrotalea sandarakina	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Hydrotalea
Vibrio sonorensis	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
Vibrio mexicanus	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
Lactobacillus perolens DSM 12744	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
Schaalia canis	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Schaalia
Cytophagales bacterium B6	Bacteroidetes				
Gluconacetobacter sp. SXCC-1	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconacetobacter
Gordonia iterans	Actinobacteria	Actinobacteria	Corynebacteriales	Gordoniaceae	Gordonia
Fimbriimonas ginsengisoli Gsoil 348	Armatimonadetes	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	Fimbriimonas
Kosakonia oryzendophytica	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Kosakonia
Kosakonia oryziphila	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Kosakonia
Aminivibrio pyruvatiphilus	Synergistetes	Synergistia	Synergistales	Synergistaceae	Aminivibrio
Muricauda taeanensis	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Muricauda
Roseovarius lutimaris	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseovarius
Nocardioides szechwanensis	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides
Nocardioides psychrotolerans	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides
Marivirga tractuosa DSM 4126	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Marivirga
Listeria weihenstephanensis FSL R9-0317	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria
Defluviitoga tunisiensis	Thermotogae	Thermotogae	Petrotogales	Petrotogaceae	Defluviitoga
Aeromonas cavernicola	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
Pseudomonas kuykendallii	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Sphingomonas sp. S17	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
Pusillimonas sp. T7-7	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Pusillimonas
alpha proteobacterium SCGC AAA076-C03	Proteobacteria	Alphaproteobacteria			
alpha proteobacterium SCGC AAA076-E06	Proteobacteria	Alphaproteobacteria			
alpha proteobacterium SCGC AAA158-B04	Proteobacteria	Alphaproteobacteria			
alpha proteobacterium SCGC AAA158-M15	Proteobacteria	Alphaproteobacteria			
alpha proteobacterium SCGC AAA160-J14	Proteobacteria	Alphaproteobacteria			
gamma proteobacterium SCGC AAA076-D02	Proteobacteria	Gammaproteobacteria			
gamma proteobacterium SCGC AAA076-D13	Proteobacteria	Gammaproteobacteria			
gamma proteobacterium SCGC AAA076-E13	Proteobacteria	Gammaproteobacteria			
gamma proteobacterium SCGC AAA076-F14	Proteobacteria	Gammaproteobacteria			
gamma proteobacterium SCGC AAA076-P09	Proteobacteria	Gammaproteobacteria			
gamma proteobacterium SCGC AAA076-P13	Proteobacteria	Gammaproteobacteria			
gamma proteobacterium SCGC AAA160-D02	Proteobacteria	Gammaproteobacteria			
Marinimicrobia bacterium SCGC AAA160-B08	Candidatus Marinimicrobia				
Marinimicrobia bacterium SCGC AAA160-C11	Candidatus Marinimicrobia				
Marinimicrobia bacterium SCGC AAA160-I06	Candidatus Marinimicrobia				
Marinimicrobia bacterium SCGC AAA076-M08	Candidatus Marinimicrobia				
Chloroherpeton thalassium ATCC 35110	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chloroherpeton
Sphingobium limneticum	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium
Bacillus sp. 916	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
Lactobacillus ginsenosidimutans	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
Saprospira grandis str. Lewin	Bacteroidetes	Saprospiria	Saprospirales	Saprospiraceae	Saprospira
Fervidobacterium thailandense	Thermotogae	Thermotogae	Thermotogales	Fervidobacteriaceae	Fervidobacterium
Chitinispirillum alkaliphilum	Fibrobacteres	Chitinispirillia	Chitinispirillales	Chitinispirillaceae	Chitinispirillum
Coprobacillus cateniformis	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Coprobacillus
Catenibacterium mitsuokai DSM 15897	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Catenibacterium
Wolbachia endosymbiont of Onchocerca ochengi	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia
Flavobacterium sp. SCGC AAA160-P02	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
Verrucomicrobia bacterium SCGC AAA164-A08	Verrucomicrobia				
Verrucomicrobia bacterium SCGC AAA164-B23	Verrucomicrobia				
Verrucomicrobia bacterium SCGC AAA164-E04	Verrucomicrobia				
Verrucomicrobia bacterium SCGC AAA164-I21	Verrucomicrobia				
Verrucomicrobia bacterium SCGC AAA164-L15	Verrucomicrobia				
Verrucomicrobia bacterium SCGC AAA164-M04	Verrucomicrobia				
Verrucomicrobia bacterium SCGC AAA164-N20	Verrucomicrobia				
Verrucomicrobia bacterium SCGC AAA164-O14	Verrucomicrobia				
Verrucomicrobia bacterium SCGC AAA164-P11	Verrucomicrobia				
Verrucomicrobia bacterium SCGC AAA168-E21	Verrucomicrobia				
Verrucomicrobia bacterium SCGC AAA168-F10	Verrucomicrobia				
gamma proteobacterium SCGC AAA168-I18	Proteobacteria	Gammaproteobacteria			
gamma proteobacterium SCGC AAA168-P09	Proteobacteria	Gammaproteobacteria			
Verrucomicrobia bacterium SCGC AAA164-A21	Verrucomicrobia				
alpha proteobacterium SCGC AAA536-G10	Proteobacteria	Alphaproteobacteria			
alpha proteobacterium SCGC AAA536-K22	Proteobacteria	Alphaproteobacteria			
gamma proteobacterium SCGC AAA536-J20	Proteobacteria	Gammaproteobacteria			
gamma proteobacterium SCGC AAA536-N21	Proteobacteria	Gammaproteobacteria			
Flavobacterium sp. SCGC AAA536-P05	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
Sphingobacterium mizutaii	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium
Methylobacterium gnaphalii	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium
Lutimaribacter litoralis	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Lutimaribacter
Candidatus Tremblaya phenacola	Proteobacteria	Betaproteobacteria	Candidatus Tremblaya		
Rummeliibacillus pycnus	Firmicutes	Bacilli	Bacillales	Planococcaceae	Rummeliibacillus
Aequorivita sublithincola DSM 14238	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Aequorivita
Weeksella virosa DSM 16922	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Weeksella
Bergeyella zoohelcum ATCC 43767	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Bergeyella
Candidatus Blochmannia pennsylvanicus str. BPEN	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Candidatus Blochmannia
Pseudomonas alcaliphila JAB1	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Burkholderia ubonensis MSMB22	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
Tetrasphaera elongata Lp2	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Tetrasphaera
Novosphingobium sp. THN1	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium
Capnocytophaga gingivalis ATCC 33624	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga
Fictibacillus enclensis	Firmicutes	Bacilli	Bacillales	Bacillaceae	Fictibacillus
Domibacillus enclensis	Firmicutes	Bacilli	Bacillales	Bacillaceae	Domibacillus
Exiguobacterium enclense	Firmicutes	Bacilli	Bacillales	Exiguobacterium	
Rhodococcus sp. Eu-32	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus
Capnocytophaga ochracea DSM 7271	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga
Capnocytophaga sputigena	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga
Polaribacter glomeratus	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Polaribacter
Desulfovibrio inopinatus DSM 10711	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio
Stanieria cyanosphaera PCC 7437	Cyanobacteria	Pleurocapsales	Dermocarpellaceae	Stanieria	
Xenococcus sp. PCC 7305	Cyanobacteria	Pleurocapsales	Xenococcaceae	Xenococcus	
Geitlerinema sp. PCC 7105	Cyanobacteria	Oscillatoriales	Coleofasciculaceae	Geitlerinema	
Leptolyngbya sp. PCC 7375	Cyanobacteria	Synechococcales	Leptolyngbyaceae	Leptolyngbya	
Desulfallas gibsoniae DSM 7213	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfallas
Solobacterium moorei DSM 22971	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Solobacterium
Beggiatoa alba B18LD	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	Beggiatoa
Gloeocapsa sp. PCC 73106	Cyanobacteria	Chroococcales	Chroococcaceae	Gloeocapsa	
Cyanobacterium stanieri PCC 7202	Cyanobacteria	Chroococcales	Cyanobacteriaceae	Cyanobacterium	
Marinoscillum furvescens DSM 4134	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Marinoscillum
Streptococcus infantarius subsp. infantarius CJ18	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Microscilla marina ATCC 23134	Bacteroidetes	Cytophagia	Cytophagales	Microscillaceae	Microscilla
Gracilibacillus kekensis	Firmicutes	Bacilli	Bacillales	Bacillaceae	Gracilibacillus
Candidatus Poribacteria bacterium WGA-4C	Candidatus Poribacteria				
Endozoicomonas montiporae CL-33	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Endozoicomonadaceae	Endozoicomonas
Nocardioides sp. LS1	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides
Enteractinococcus coprophilus	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Enteractinococcus
Marivirga sericea	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Marivirga
Psychrobacter sp. DAB_AL32B	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter
Psychrobacter sp. DAB_AL43B	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter
Proteus penneri	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Proteus
Arenibacter hampyeongensis	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Arenibacter
Streptococcus didelphis DSM 15616	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Frankia sp. ACN1ag	Actinobacteria	Actinobacteria	Frankiales	Frankiaceae	Frankia
Frankia sp. EUN1f	Actinobacteria	Actinobacteria	Frankiales	Frankiaceae	Frankia
Pseudomonas sp. StFLB209	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Acinetobacter sp. P8-3-8	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
Flectobacillus major DSM 103	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Flectobacillus
Bacillus sp. DB-2	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
Sphingomonas sp. KC8	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
Paenibacillus sp. Mc5Re-14	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus
Streptomyces sp. Wb2n-11	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces
Thiothrix nivea DSM 5205	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	Thiothrix
Caloramator sp. ALD01	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Caloramator
Blastopirellula cremea	Planctomycetes	Planctomycetia	Pirellulales	Pirellulaceae	Blastopirellula
Neptunomonas concharum	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Neptunomonas
Tropicimonas sediminicola	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Tropicimonas
Campylobacter volucris LMG 24379	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
Extensimonas vulgaris	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Extensimonas
Thiothrix sp.	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	Thiothrix
Arcobacter molluscorum LMG 25693	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Arcobacter
Streptomyces ipomoeae	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces
Fusobacterium sp. OBRC1	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium
Prevotella sp. MSX73	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
Pedosphaera parvula Ellin514	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobia subdivision 3	Pedosphaera
Otariodibacter oris	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Otariodibacter
Corynebacterium nuruki S6-4	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium
Bacillus timonensis	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
Brevibacterium senegalense	Actinobacteria	Actinobacteria	Micrococcales	Brevibacteriaceae	Brevibacterium
Kurthia sp. Dielmo	Firmicutes	Bacilli	Bacillales	Planococcaceae	Kurthia
Kurthia massiliensis	Firmicutes	Bacilli	Bacillales	Planococcaceae	Kurthia
Kurthia senegalensis	Firmicutes	Bacilli	Bacillales	Planococcaceae	Kurthia
Microvirga massiliensis	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Microvirga
Marinobacter adhaerens	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Marinobacter
Thioalkalivibrio sulfidiphilus HL-EbGr7	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Thioalkalivibrio
Chryseobacterium sp. PMSZPI	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Chryseobacterium
Rhodococcus sp. WB1	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus
Pseudomonas sp. MOIL14HWK12:I1	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. MOIL14HWK12:I2	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Afipia clevelandensis ATCC 49720	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Afipia
Dielma fastidiosa	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Dielma
Pseudonocardia spinosispora DSM 44797	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia
Xenorhabdus ishibashii	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Xenorhabdus
Paenibacillus sp. HW567	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus
Variovorax sp. HW608	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
Legionella massiliensis	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella
Legionella tunisiensis	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella
Afipia felis ATCC 53690	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Afipia
Deferrisoma camini S3R1	Proteobacteria	Deltaproteobacteria	Deferrisoma		
Rhizobium nepotum 39/7	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium
Dehalobacter sp. FTH1	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Dehalobacter
Massilia namucuonensis	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia
Gleimia coleocanis DSM 15436	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Gleimia
Massilia lurida	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia
Friedmanniella flava	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Friedmanniella
Actinoplanes atraurantiacus	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Actinoplanes
Actinomyces urogenitalis DSM 15434	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
Idiomarina sp. A28L	Proteobacteria	Gammaproteobacteria	Alteromonadales	Idiomarinaceae	Idiomarina
Bosea lathyri	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bosea
Bosea lupini	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bosea
Bosea robiniae	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bosea
Nostoc sp. PCC 7120 = FACHB-418	Cyanobacteria	Nostocales	Nostocaceae	Nostoc	
Actinokineospora inagensis DSM 44258	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Actinokineospora
Saccharothrix espanaensis DSM 44229	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Saccharothrix
Saccharothrix syringae	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Saccharothrix
Saccharothrix texasensis	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Saccharothrix
Parabacteroides chartae	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides
Tropicibacter phthalicicus	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Tropicibacter
Chryseobacterium viscerum	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Chryseobacterium
Bacillus kyonggiensis	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
Aquimarina amphilecti	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Aquimarina
Rhodococcus sp. AD45	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus
Riemerella columbina DSM 16469	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Riemerella
Rhodococcus pyridinivorans SB3094	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus
Janibacter terrae NBRC 107853	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Janibacter
Thermopolyspora flexuosa	Actinobacteria	Actinobacteria	Streptosporangiales	Streptosporangiaceae	Thermopolyspora
Nonomuraea turkmeniaca	Actinobacteria	Actinobacteria	Streptosporangiales	Streptosporangiaceae	Nonomuraea
Bordetella hinzii	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella
Planococcus plakortidis	Firmicutes	Bacilli	Bacillales	Planococcaceae	Planococcus
Bradyrhizobium sp. WSM2793	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium
Bradyrhizobium sp. WSM3983	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium
Veillonella criceti	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella
Veillonella ratti	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella
Streptomyces xinghaiensis S187	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces
Cyclobacterium marinum DSM 745	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae	Cyclobacterium
Pseudomonas frederiksbergensis	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Acetobacter peroxydans	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter
Mesorhizobium sp. WSM1293	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium
Mesorhizobium sp. WSM2561	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium
Mesorhizobium sp. WSM3224	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium
Mesorhizobium sp. WSM3626	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium
Bradyrhizobium sp. WSM4349	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium
Bradyrhizobium sp. ARR65	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium
Acetobacter orleanensis	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter
Acetobacter indonesiensis 5H-1	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter
Acetobacter tropicalis	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter
Ensifer sp. WSM1721	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer
Candidatus Arthromitus sp. SFB-rat-Yit	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Candidatus Arthromitus
Oscillochloris trichoides DG-6	Chloroflexi	Chloroflexia	Chloroflexales	Oscillochloridaceae	Oscillochloris
Methylacidimicrobium cyclopophantes	Verrucomicrobia	Methylacidimicrobium			
Methylacidimicrobium tartarophylax	Verrucomicrobia	Methylacidimicrobium			
Erythrobacter sp.	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Erythrobacter
Clostridium sp. SY8519	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
Rhizobium sp. IBUN	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium
Ochrovirga pacifica	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Ochrovirga
Oceanicola sp. S124	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Oceanicola
Tenacibaculum mesophilum	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Tenacibaculum
Tenacibaculum ovolyticum DSM 18103	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Tenacibaculum
Streptomyces sp. SLBN-31	Actinobacteria	Actinobacteria	Micrococcales	Cellulomonadaceae	Cellulomonas
Acidiphilium sp. PM	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium
Microbacterium foliorum	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium
Lysinimicrobium mangrovi	Actinobacteria	Actinobacteria	Micrococcales	Demequinaceae	Lysinimicrobium
Erythrobacter longus	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Erythrobacter
Citricoccus sp. CH26A	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Citricoccus
Neptunomonas qingdaonensis	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Neptunomonas
Arthrobacter cupressi	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter
Nocardioides lianchengensis	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides
Paenibacillus catalpae	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus
Kutzneria buriramensis	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Kutzneria
